make,model,parent_generation,review_description,rating_stars,review_title,review_author,helpful
AMC,Concord,1978-1983,"I purchased the Coverland Premium Car Cover for my AMC Concord, but I wasn't impressed with its performance. Despite claiming to be waterproof, water leaked through the seams. I almost returned it, but my husband liked some of its features, so he's going to try using a waterproof spray on the seams to prevent leakage. Can't comment on durability after only one month.",2,"""Not Impressed with the Cover for my AMC Concord",Sadie Barclay,1
AMC,Concord,1978-1983,"I have bought many covers for my car, but the Coverland Premium Car Cover has been the best one so far. It fits well and has proven to be waterproof. It is easy to put on and secure, and the zipper entry for the driver's door is a great feature. The customer service from Coverland was outstanding when I had an issue with the cover. They promptly sent me a new one, and I am very happy with their service. Highly recommend this cover!",5,"""Extremely Satisfied with the Coverland Premium Car Cover",John Weber,20
AMC,Concord,1978-1983,"I was initially skeptical about the Coverland Premium Car Cover, but it ended up exceeding my expectations. The fit is great, and it provides excellent water protection. I live in Florida, where we experience harsh sun and rain, and this cover has held up well. It also does a good job of reflecting heat. I am impressed with the quality and durability of this product. Definitely worth the investment!",5,"""Pleasantly Surprised with the Coverland Premium Car Cover",Marie Ritter,15
AMC,Concord,1978-1983,"I bought the Coverland Premium Car Cover as a gift for my partner, and they absolutely love it. It fits their car perfectly and provides excellent protection against the weather. They appreciate the adjustable retaining straps and the additional strap for securing it under the vehicle. The cover has been durable and has kept their car dry and protected. Highly recommended!",5,"""Perfect Gift for my Loved One",Nancy Baker,10
AMC,Concord,1978-1983,"Living in South Florida, I needed a car cover that could withstand the intense sun and occasional heavy rain. The Coverland Premium Car Cover has been the perfect solution. It fits well and has excellent waterproofing capabilities. The high-quality material has held up well under the extreme weather conditions. Highly satisfied with this cover!",5,"""Great Cover for the Harsh South Florida Climate",William Work,5
AMC,Concord,1978-1983,"The Coverland Premium Car Cover is top-notch! It fits my car perfectly, and the waterproofing is outstanding. The material is durable and easy to clean. I highly recommend this cover for its quality and performance.",5,"""Excellent Car Cover!",Jane Manzanares,2
AMC,Concord,1978-1983,"The Coverland Premium Car Cover is a good option for protecting your car. It fits well and provides decent waterproofing. While it may not be the absolute best cover on the market, it does the job effectively and is a good value for the price.",5,"""Good Car Cover",Erin Jackson,1
AMC,Rambler Cross Country,1958-1962,"I looked at several car covers for my AMC Rambler Cross Country and this one looked like the best. It fits perfectly, just make sure you use the sizing chart when ordering. However, I learned that it's not completely waterproof in heavy rain. Shortly after putting it on my car, we had a severe thunderstorm and some water did get through, probably through the seam. But I've found that no car covers are completely waterproof, so I guess it should be expected. This particular cover has adjustable retaining straps in the front and back and comes with an extra strap for the midbody to secure the cover under the vehicle. It also has grommets for an anti-theft cable or bungee cord to keep the cover firmly in place. It also comes with an antenna grommet, and you can add a large nylon drawstring storage bag. One word of caution, I followed the instructions for installing the cover which state that it's not necessary to use the antenna grommet if you have a flexible antenna. Well, that didn't work out well because when I removed the cover, which was heavy, my rubber flex antenna was bent and cracked in several places. In retrospect, my car's six years old and the rubber was weathered and hardened. But be aware that you might want to remove any detachable antennas before using this cover, as a replacement antenna cost me [Amazon]. Other than that, I'm happy with this cover, it's well made, easy to install, and stayed on my car during 70 MPH winds and heavy rain. (Helpful: 1, Rating: 2)",2,"Fits my AMC Rambler Cross Country perfectly 
Content: I looked at several car covers for my AMC Rambler Cross Country and this one looked like the best. It fits perfectly, just make sure you use the sizing chart when ordering. However, I learned that it's not completely waterproof in heavy rain. Shortly after putting it on my car, we had a severe thunderstorm and some water did get through, probably through the seam. But I've found that no car covers are completely waterproof, so I guess it should be expected. This particular cover has adjustable retaining straps in the front and back and comes with an extra strap for the midbody to secure the cover under the vehicle. It also has grommets for an anti-theft cable or bungee cord to keep the cover firmly in place. It also comes with an antenna grommet, and you can add a large nylon drawstring storage bag. One word of caution, I followed the instructions for installing the cover which state that it's not necessary to use the antenna grommet if you have a flexible antenna. Well, that didn't work out well because when I removed the cover, which was heavy, my rubber flex antenna was bent and cracked in several places. In retrospect, my car's six years old and the rubber was weathered and hardened. But be aware that you might want to remove any detachable antennas before using this cover, as a replacement antenna cost me [Amazon]. Other than that, I'm happy with this cover, it's well made, easy to install, and stayed on my car during 70 MPH winds and heavy rain.",Tim Davidson,1
AMC,Rambler Cross Country,1958-1962,"I bought the Coverland Car Cover Waterproof All Weather for my AMC Rambler Cross Country after reading reviews from other people, and I agree, it fits perfectly. We had rain and snow, and my car stayed dry under this cover. I'm satisfied with the purchase and recommend it to others. (Helpful: 20, Rating: 5)",5,"Good quality, good fit 
Content: I bought the Coverland Car Cover Waterproof All Weather for my AMC Rambler Cross Country after reading reviews from other people, and I agree, it fits perfectly. We had rain and snow, and my car stayed dry under this cover. I'm satisfied with the purchase and recommend it to others.",Elliot Buchanon,20
AMC,Rambler Cross Country,1958-1962,"I've bought many other brands of car covers in the past, all stating that they are waterproof. I can attest that this Coverland Premium cover does exactly what it states, excellent water protection. I've recently had winds over 70 mph and the fitted car cover adheres perfectly without any concerns whatsoever. In comparison to many other car tarp purchases, this brand has certainly lived up well to its rated claims. I'm truly impressed and satisfied with this car cover purchase. This purchase has proven so far to be one of my best-ever auto covers over the decades. (Helpful: 20, Rating: 5)",5,"Coverland Premium Car Cover: Legitimately a Good Investment of Protection, Comparatively 
Content: I've bought many other brands of car covers in the past, all stating that they are waterproof. I can attest that this Coverland Premium cover does exactly what it states, excellent water protection. I've recently had winds over 70 mph and the fitted car cover adheres perfectly without any concerns whatsoever. In comparison to many other car tarp purchases, this brand has certainly lived up well to its rated claims. I'm truly impressed and satisfied with this car cover purchase. This purchase has proven so far to be one of my best-ever auto covers over the decades.",John Bryan,20
AMC,Rambler Cross Country,1958-1962,"This cover is waterproof. It's also easy to dry off after rain. I've purchased many truck covers over the years, and this is the best and least expensive truck cover I have ever purchased. The only bad thing is that I would like to have mirror pockets. (Helpful: 15, Rating: 5)",5,"Great truck cover 
Content: This cover is waterproof. It's also easy to dry off after rain. I've purchased many truck covers over the years, and this is the best and least expensive truck cover I have ever purchased. The only bad thing is that I would like to have mirror pockets.",Marian Carr,15
