make,model,parent_generation,review_description,rating_stars,review_title,review_author,helpful
AMC,Eagle,1980-1987,"I was disappointed with this car cover. It claimed to be waterproof, but water leaked through the seams. I almost returned it, but my husband liked the other features so he's going to try waterproof spray on the seams to prevent leakage. Can't comment on durability after only one month.",2,Coverland Premium Car Cover Waterproof All Weather for 1980-1987 AMC Eagle,Regina Bradley,1
AMC,Eagle,1980-1987,"This car cover fits my 1980-1987 AMC Eagle perfectly, including the mirror areas. The zipper entry to get into the car is a handy feature, and the reflectors and straps for windproofing are great additions. The cover keeps my car dry, except for a few leaks through the seams. Overall, I am satisfied with this purchase. (120 words)",5,Coverland Premium Car Cover Waterproof All Weather for 1980-1987 AMC Eagle,Ilene Evitt,20
AMC,Eagle,1980-1987,"I have purchased many car covers for my AMC Eagle over the years, and this Coverland Premium cover has been the best so far. It fits well, and the waterproof feature has proven to be effective in heavy rain. It is easy to put on and secure, and the cover stays in place even during strong winds. The customer service from the company has been outstanding as well. When I experienced some durability issues after a few months, they promptly sent me a new cover. I will continue to do business with them. (120 words)",5,Coverland Premium Car Cover Waterproof All Weather for 1980-1987 AMC Eagle,Felipe Miller,20
AMC,Eagle,1980-1987,"I was skeptical about this car cover at first, but it ended up exceeding my expectations. It fits perfectly and provides excellent protection against water and weather changes. The high-quality material feels durable and non-scratch, ensuring that my car remains in great condition. I also appreciate the adjustable retaining straps and additional grommets for added security. Overall, I am extremely satisfied with this purchase and would recommend it to others. (82 words)",5,Coverland Premium Car Cover Waterproof All Weather for 1980-1987 AMC Eagle,Tiffany Terry,15
AMC,Eagle,1980-1987,"I bought this car cover for my friend who owns a 1980-1987 AMC Eagle, and they absolutely love it. It fits their car perfectly and provides great protection against the elements. They have mentioned that it keeps their car dry and protected from leaves, birds, and other natural elements. I am happy to see my friend satisfied with this purchase. (59 words)",5,Coverland Premium Car Cover Waterproof All Weather for 1980-1987 AMC Eagle,Melva Riley,10
AMC,Eagle,1980-1987,"This car cover is perfect for the unpredictable weather in Florida. It provides excellent waterproofing and UV protection, ensuring that my AMC Eagle stays dry and protected from the harsh sun. The high-quality materials and tailored fit give me peace of mind that my car is well looked after. I highly recommend this cover to fellow car owners in Florida. (65 words)",5,Coverland Premium Car Cover Waterproof All Weather for 1980-1987 AMC Eagle,Dorothy Wightman,5
AMC,Eagle,1980-1987,Fits my car perfectly. Easy to install and stays secure even in heavy rain. (16 words),5,Coverland Premium Car Cover Waterproof All Weather for 1980-1987 AMC Eagle,Doris Hughes,2
AMC,Eagle,1980-1987,Good quality cover that keeps my car dry. Highly recommended. (11 words),5,Coverland Premium Car Cover Waterproof All Weather for 1980-1987 AMC Eagle,John Smith,1
AMC,Javelin,1965-1974,"I was disappointed with this car cover. It claims to be waterproof, but water leaked through the seams. I almost returned it, but my husband liked some of the other features, so he's going to try waterproofing spray on the seams to help prevent leakage. I can't comment on durability after only one month. ",2,Coverland Premium Car Cover Waterproof All Weather for AMC Javelin 1965-1974,Bridgette Cohen,1
AMC,Javelin,1965-1974,"I have bought many car covers for my AMC Javelin over the years, and this Coverland Premium cover has been the best. It fits very well, including where the mirrors are, and the zipper entry on the driver's door is a handy feature. The reflectors and straps for windproofing are also great additions. The colorless fabric is likely to absorb heat and keep the car dry, except for some leakage through the seams. I almost brought it back, but my husband likes the other features, so he's going to try waterproofing spray on the seams to help prevent leakage. Overall, I am satisfied with this cover. ",5,Coverland Premium Car Cover Waterproof All Weather for AMC Javelin 1965-1974,Shelley Osterhout,20
AMC,Javelin,1965-1974,"I was skeptical about buying this car cover, but it ended up exceeding my expectations. The fit is great and it really covers the car well. It is waterproof and seems to be holding up well in South Florida's harsh sun. I believe this cover will last longer than the cheaper ones sold in stores. The customer service from Coverland was also outstanding. When I contacted them about the cover only lasting a few months, they sent me a new one without any hassle. I highly recommend this cover. ",5,Coverland Premium Car Cover Waterproof All Weather for AMC Javelin 1965-1974,Marcela Reese,20
AMC,Javelin,1965-1974,"This car cover is a true investment of protection. I have bought many other brands in the past, all claiming to be waterproof, but this Coverland Premium cover lives up to its claims. I recently had winds over 70 mph and the cover adhered perfectly without any concerns. In comparison to many other car tarps I have purchased, this brand has certainly proven to be the best. I am truly impressed and satisfied with this car cover purchase. ",5,Coverland Premium Car Cover Waterproof All Weather for AMC Javelin 1965-1974,Kathy Oconnor,20
AMC,Javelin,1965-1974,"I was skeptical about buying this car cover at first, but I ended up loving it. The fit is great and it stays in place even with strong winds. The cover is waterproof and has kept my car dry through heavy rainstorms. I also appreciate the adjustable retaining straps and the extra strap for the mid-body, as they help secure the cover under the vehicle. Overall, I am extremely satisfied with this purchase and would highly recommend it. ",5,Coverland Premium Car Cover Waterproof All Weather for AMC Javelin 1965-1974,Jennifer Holmquist,15
AMC,Javelin,1965-1974,"I bought this car cover for my dad's AMC Javelin and he loves it. It fits perfectly and provides great protection against the weather. The waterproof feature is a bonus, as it keeps the car dry even during heavy rain. He is very happy with this gift. ",5,Coverland Premium Car Cover Waterproof All Weather for AMC Javelin 1965-1974,Margie Poe,10
AMC,Javelin,1965-1974,"I live in Florida and bought this car cover to protect my AMC Javelin from the harsh sun and occasional rainstorms. It has exceeded my expectations. The cover is waterproof and has kept my car dry, even during heavy downpours. The high-quality material and durability are impressive. I highly recommend this cover for anyone living in a hot and rainy climate. ",5,Coverland Premium Car Cover Waterproof All Weather for AMC Javelin 1965-1974,Henry Rose,5
AMC,Javelin,1965-1974,Fits perfectly and does a great job keeping my car dry. Highly recommended! ,5,Coverland Premium Car Cover Waterproof All Weather for AMC Javelin 1965-1974,Basil Stallsworth,2
AMC,Javelin,1965-1974,Good fit and good quality. Very satisfied with this car cover.,5,Coverland Premium Car Cover Waterproof All Weather for AMC Javelin 1965-1974,Michael Holt,1
AMC,Rambler American,1964-1969,"I purchased this car cover for my AMC Rambler American, but I was not impressed with the quality. It started to leak through the seams after just a few months of use. I'm disappointed with this product and would not recommend it.",2,AMC Rambler American Car Cover - Not Impressed,Mary Colon,1
