"type","helpful","count"
"SUV Covers","35","68"
"Car Covers","35","98"
"Truck Covers","35","9"
"Car Covers","34","107"
"Truck Covers","34","9"
"SUV Covers","34","53"
"Car Covers","33","88"
"SUV Covers","33","67"
"Truck Covers","33","3"
"Truck Covers","32","8"
"Car Covers","32","115"
"SUV Covers","32","58"
"Car Covers","31","125"
"SUV Covers","31","67"
"Truck Covers","31","9"
"Car Covers","30","206"
"Truck Covers","30","6"
"SUV Covers","30","69"
"Truck Covers","29","5"
"Car Covers","29","202"
"SUV Covers","29","66"
"SUV Covers","28","62"
"Car Covers","28","221"
"Truck Covers","28","3"
"Car Covers","27","216"
"SUV Covers","27","69"
"Truck Covers","27","10"
"Car Covers","26","207"
"Truck Covers","26","4"
"SUV Covers","26","63"
"SUV Covers","25","155"
"Truck Covers","25","15"
"Car Covers","25","445"
"Car Covers","24","280"
"SUV Covers","24","71"
"Truck Covers","24","9"
"SUV Covers","23","65"
"Truck Covers","23","4"
"Car Covers","23","269"
"Truck Covers","22","10"
"Car Covers","22","246"
"SUV Covers","22","87"
"SUV Covers","21","83"
"Car Covers","21","268"
"Truck Covers","21","8"
"Truck Covers","20","8"
"Car Covers","20","319"
"SUV Covers","20","69"
"Car Covers","19","62"
"SUV Covers","19","3"
"Car Covers","18","45"
"SUV Covers","18","3"
"SUV Covers","17","5"
"Car Covers","17","49"
"SUV Covers","16","11"
"Car Covers","16","58"
"SUV Covers","15","8"
"Car Covers","15","58"
"Car Covers","14","29"
"SUV Covers","14","4"
"Car Covers","13","33"
"SUV Covers","12","1"
"Car Covers","12","36"
"Car Covers","11","28"
"SUV Covers","11","2"
"Car Covers","10","652"
"SUV Covers","10","180"
"Truck Covers","10","15"
"SUV Covers","9","187"
"Truck Covers","9","20"
"Car Covers","9","636"
"Truck Covers","8","24"
"Car Covers","8","596"
"SUV Covers","8","186"
"Car Covers","7","2618"
"Truck Covers","7","82"
"SUV Covers","7","768"
"SUV Covers","6","602"
"Truck Covers","6","64"
"Car Covers","6","2042"
"Truck Covers","5","57"
"SUV Covers","5","585"
"Car Covers","5","1987"
"Car Covers","4","24"
"Car Covers","3","27"
"Car Covers","2","34"
"Car Covers","0","113"
"SUV Covers","0","25"
